DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4261.1,223.6869,66.4533,121.3611,2.7075,128.0816,15.2682,22.4454,21.3127,2.5292,14.495,7.2222,0.7057,123.6813,0.01,10.0
4261.4,225.0501,67.3185,124.2288,2.722,129.4521,16.3549,22.1881,21.0365,2.5297,15.74,6.7881,0.7161,124.9173,0.01,10.0
4261.5,225.8788,67.7895,125.2047,2.7296,129.3062,16.7817,21.8072,20.6553,2.6088,16.1894,6.4549,0.6718,125.0137,0.01,10.0
4261.7,228.4193,68.8102,127.1542,2.7334,128.4046,17.8639,20.3268,19.233,2.8506,16.8282,5.6906,0.6717,125.1253,0.01,10.0
4261.8,229.8915,69.3327,127.9569,2.7261,128.531,18.3482,19.4267,18.3852,3.0006,16.8324,5.3566,0.6859,124.9503,0.01,10.0
4262.4,236.6829,70.1877,130.2785,2.7175,136.7435,17.5575,17.4458,16.5557,3.2865,14.4889,6.104,0.6428,125.5416,0.01,10.0
4262.5,236.7428,70.0841,130.301,2.7172,137.601,17.3071,17.5212,16.6228,3.2485,14.2797,6.4381,0.651,125.574,0.01,10.0
4262.6,236.6205,70.0001,130.31,2.7168,137.1579,17.1652,17.567,16.662,3.2289,14.547,6.5367,0.6191,125.7779,0.01,10.0
4262.8,236.2029,70.0381,130.4378,2.7217,134.6522,17.3078,17.491,16.5836,3.2366,15.809,6.3431,0.6121,125.8542,0.01,10.0
4262.9,236.1462,70.1358,130.5821,2.725,134.0918,17.5923,17.3445,16.4404,3.2509,16.3581,6.2232,0.5781,125.8524,0.01,10.0
4263.1,236.7757,70.4321,130.8698,2.7187,133.3319,18.1273,16.8917,16.0025,3.2773,17.1935,6.0733,0.6016,125.6622,0.01,10.0
4263.3,238.1046,70.6246,131.1639,2.697,132.8078,18.2207,16.3722,15.5118,3.2574,17.4452,6.3229,0.5633,125.5994,0.01,10.0
4263.4,238.7646,70.6905,131.2853,2.6906,133.9926,18.2225,16.151,15.3064,3.2075,17.1041,6.7585,0.5633,125.6042,0.01,10.0
4263.5,239.281,70.7492,131.3842,2.6918,136.0526,18.1765,15.9966,15.1671,3.1405,16.5007,7.3578,0.5634,125.6067,0.01,10.0
4263.6,239.5906,70.8167,131.4238,2.6994,137.8254,18.0538,15.9125,15.0961,3.0909,15.9016,7.8904,0.5634,125.5136,0.01,10.0
4263.9,239.4172,70.8923,131.4645,2.7195,139.5042,17.8522,15.9747,15.1628,3.0976,14.6828,8.6834,0.5263,125.4883,0.01,10.0
